Week,Team,Cumulative_MSE
14,steelers,144.0223505130277
15,steelers,300.15628921123067
16,steelers,206.98714440232766
17,steelers,222.12782268849793
18,steelers,205.78442964167706
Wildcard,steelers,264.17099634840247
14,patriots,205.2413429984844
15,patriots,252.64078892956135
16,patriots,231.57156822697016
17,patriots,185.72331191703907
18,patriots,226.5497907823129
14,chargers,9.317562205349766
15,chargers,719.1198022761713
16,chargers,537.4696351261699
17,chargers,426.0012294253931
18,chargers,402.77799869869625
14,giants,4309.6501985798905
15,giants,2343.7732985793277
16,giants,2434.8187644847762
17,giants,1927.002938659353
18,giants,2184.6798569856423
14,bears,67.40647598267581
15,bears,35.963344047439904
16,bears,48.57178938385575
17,bears,45.97740276646877
18,bears,53.82877090729305
15,commanders,70.56145461582148
16,commanders,46.18900429821179
17,commanders,37.61201593204881
18,commanders,29.418227000718634
14,chiefs,34.53505248486485
15,chiefs,19.19759285175537
16,chiefs,17.27626878142992
17,chiefs,15.967803746639465
18,chiefs,19.841778993142423
Wildcard,chiefs,77.06460388105472
Divisional,chiefs,52.48612544456074
Conference,chiefs,46.49143987287297
Superbowl,chiefs,47.549145091505174
14,broncos,396.58571422483794
15,broncos,291.27881938000843
16,broncos,212.3765128861194
17,broncos,239.24904624950605
18,broncos,207.1110593935222
14,jets,467.8547642418847
15,jets,316.2718291689803
16,jets,232.36274631303593
17,jets,373.92890160155713
18,jets,300.70842282202057
14,saints,1.7738261055017592
15,saints,63.72146357211509
16,saints,81.77617050255509
17,saints,65.89390579759635
18,saints,53.87005157137131
14,panthers,53.2235541027816
15,panthers,343.9972010045286
16,panthers,241.95504001719803
17,panthers,218.26045253361465
18,panthers,327.2326201227899
14,texans,219.09407227222064
16,texans,611.819273544637
17,texans,943.6329959813605
18,texans,712.90761544774
Wildcard,texans,520.3910448096763
Divisional,texans,605.2219152183727
14,cowboys,177.53666285723898
15,cowboys,91.13926718554659
16,cowboys,60.94394200376515
17,cowboys,87.43862120612579
18,cowboys,153.37716480013427
Wildcard,cowboys,201.54202316760484
14,eagles,129.73190533182697
15,eagles,336.60792162346365
16,eagles,504.1089079225531
17,eagles,401.7966437776807
18,eagles,469.9279637471104
Wildcard,eagles,395.64159127247154
15,rams,267.3740402499093
16,rams,136.08931975999016
17,rams,131.77676509640776
18,rams,194.02260057029986
Wildcard,rams,156.3597098590275
14,49ers,64.22129783854318
15,49ers,38.90119665839357
16,49ers,41.621468251479456
17,49ers,38.86218424374215
18,49ers,31.497665519319433
Divisional,49ers,27.44267707766314
Conference,49ers,30.950766131166286
Superbowl,49ers,26.550445989007002
15,cardinals,312.8625199756721
16,cardinals,158.67111707676642
17,cardinals,112.2357543667972
18,cardinals,119.27876260545914
14,colts,1114.530988862825
15,colts,1052.9044687823698
16,colts,837.0241227830373
17,colts,733.3242174706079
18,colts,665.7709882625179
14,titans,137.02070582765307
16,titans,73.54347006279276
17,titans,66.77146039459062
18,titans,76.0862509441757
14,falcons,0.024817114518333485
15,falcons,128.82736148325262
16,falcons,159.28887175711432
17,falcons,134.7573752091523
18,falcons,250.95115499280774
14,seahawks,60.821034449703404
15,seahawks,33.56646806058497
16,seahawks,33.1252727202634
17,seahawks,57.15929580108157
18,seahawks,47.065146301717235
14,raiders,124.34243061096983
15,raiders,76.74099157997426
16,raiders,62.526093088029455
17,raiders,57.61140472768984
18,raiders,48.69388591935929
14,browns,181.56746708043036
15,browns,91.46059919041653
16,browns,78.1003942609335
17,browns,147.02087893145264
18,browns,124.07136807499043
Wildcard,browns,149.55915339842508
14,dolphins,118.13311431670724
15,dolphins,199.16759269785888
16,dolphins,160.64580573358913
17,dolphins,331.78810204507704
18,dolphins,273.44168574308384
Wildcard,dolphins,231.00400302216266
14,vikings,94.78031455148894
16,vikings,96.22134820899677
17,vikings,112.99697155980103
18,vikings,108.21381353355454
14,packers,530.0940868138639
15,packers,289.86886735182856
16,packers,430.6959357246471
17,packers,531.1369161056658
18,packers,471.74565277923546
Wildcard,packers,392.61388830066295
Divisional,packers,456.3590132783832
14,buccs,25.30617171385636
15,buccs,21.17482404241853
16,buccs,41.2976591715808
17,buccs,41.67566408966394
18,buccs,63.24089806146422
Wildcard,buccs,73.60662218699906
Divisional,buccs,68.34754185189381
14,jaguars,7141.998896753056
15,jaguars,4041.168899220874
16,jaguars,3100.3023955425415
17,jaguars,2374.540807783407
18,jaguars,2332.3411659519356
14,lions,143.6057091636224
15,lions,96.81755547489601
16,lions,64.95647978144665
17,lions,88.28007368154061
18,lions,83.47031572566314
Wildcard,lions,77.98619401922296
Divisional,lions,88.69995174538089
Conference,lions,92.79229421212153
14,bills,155.41776172465927
15,bills,305.7866524256208
16,bills,236.22115951244018
17,bills,235.72171457179195
18,bills,248.3025909011132
Wildcard,bills,199.57912242248477
Divisional,bills,219.37583562323093
15,ravens,76.47506143363624
16,ravens,93.87368089705704
17,ravens,96.8698220629391
18,ravens,92.33529241715256
Divisional,ravens,103.0849447527765
Conference,ravens,100.68764344772099
14,bengals,20626.051006413534
16,bengals,12634.661319169752
17,bengals,9910.750262126867
18,bengals,16533.39328742738
